word,freq
disse:,9.878424394956477
coca,9.322385829373143
para,8.896198820053181
lgbt,8.49284675667151
mais,8.257652198184758
parada,7.859083919465967
mania,7.859083919465967
festa,7.809858586786223
brasil,7.5039436793767145
como,7.394389138678982
pode,7.223667106103727
pessoas,7.194951790895436
orgulho,7.156832153804707
cola,7.117909939362807
muza,7.093477426229163
muito,7.034089007786365
isso,6.953469439856516
anos,6.788241581913757
coca-cola,6.775805209660614
quando,6.6756371857582275
janeiro,6.577610641343695
vida,6.577610641343695
filme,6.539850852492463
tomo,6.371676386723529
revista,6.350932424339727
tomar,6.348538856950095
festival,6.290870368506185
junho,6.249377508941368
beber,6.2252440520436485
mesmo,6.160369434260407
tudo,6.160369434260407
outubro,6.156489956113524
fazer,6.108092354739302
março,6.108092354739302
saúde,6.108092354739302
abril,6.108092354739302
sobre,6.096280660043319
coisas,6.093135228537982
série,6.093135228537982
água,6.093135228537982
julho,6.058291730638364
novembro,6.058291730638364
todos,6.0278109600514185
paulo,6.023363291601173
setembro,6.007004303127118
agosto,6.007004303127118
maio,5.958456700475993
fevereiro,5.954138555584442
recordar,5.929969848753367
esta,5.905537554468815
você,5.899594252721736
minas,5.875385384398362
todo,5.875385384398362
dezembro,5.8432612966694775
mulher,5.841084581140546
pelo,5.785018389077111
depois,5.77419885322676
ainda,5.77419885322676
mundo,5.75506637157254
maquiagens,5.721411598533361
drag,5.721411598533361
estou,5.714524241091272
acontece,5.70468949576311
pela,5.662251800819622
copo,5.63234224908256
esse,5.63234224908256
viver,5.628520971627045
show,5.60826808645598
homofobia,5.60826808645598
diversidade,5.60826808645598
está,5.597413870796869
consumo,5.53832079479993
somos,5.53832079479993
amor,5.53003263722543
contagem,5.488263310783205
horizonte,5.488263310783205
contra,5.478135341040387
"anos,",5.478135341040387
sempre,5.443492988774611
refrigerante,5.443492988774611
belo,5.395689711269634
grande,5.395689711269634
hoje,5.386782930226807
físicos:,5.360511078780545
bebo,5.360511078780545
aquário,5.360511078780545
problemas,5.343536921764999
nacional,5.343536921764999
gays,5.343536921764999
vezes,5.343536921764999
madonna,5.343536921764999
muitas,5.309220784794251
também,5.309220784794251
quem,5.309220784794251
desde,5.2378660529887275
causar,5.2378660529887275
entre,5.2378660529887275
melhor,5.223941582464649
marcel,5.223941582464649
party,5.223941582464649
